timestamp,X,Y,Z
1764067956458,0.023135,-0.009858,-0.106545
1764067956468,0.009466,0.005642,-0.126096
1764067956478,-0.008736,0.024176,-0.149204
1764067956488,0.004844,-0.006659,-0.142705
1764067956498,-0.013285,0.006867,-0.126965
1764067956508,0.002355,-0.018093,-0.087562
1764067956518,0.001953,-0.0247,-0.043916
1764067956528,-0.000846,0.024206,-0.009432
1764067956539,0.014355,-0.020448,-0.008347
1764067956549,0.006931,-0.018224,-0.004331
1764067956559,-0.009845,0.012023,-0.00955
1764067956569,0.002774,0.030455,-0.018207
1764067956579,-0.00209,-0.014047,-0.006652
1764067956589,-0.016679,-0.009271,-0.044761
1764067956599,0.00259,-0.011148,-0.167706
1764067956609,0.00646,-0.011775,-0.281291
1764067956619,-0.000634,0.008486,-0.360267
1764067956629,0.002306,0.012125,-0.393831
1764067956639,0.003856,-0.006295,-0.370452
1764067956649,-0.001773,0.000694,-0.283553
1764067956659,0.001467,0.003789,-0.138265
1764067956669,-0.0029,0.017172,-0.022234
1764067956680,0.008376,-0.00654,0.008286
1764067956690,0.004007,0.002128,-0.042661
1764067956700,0.005702,0.016189,-0.057562
1764067956710,-0.007236,0.014503,-0.040349
1764067956720,0.008195,-0.021323,-0.010964
1764067956730,-0.008764,0.026612,-0.005516
1764067956740,-0.000807,0.02185,-0.007867
1764067956750,0.001187,0.009984,-0.016285
1764067956760,-0.00779,0.005441,-0.012528
1764067956770,0.003553,-0.007369,-0.020404
1764067956780,0.000394,0.026202,-0.020679
1764067956790,0.004806,0.002291,-0.021068
1764067956800,0.006785,-0.006616,-0.001096
1764067956810,0.000688,0.028427,0.032512
1764067956821,0.006397,0.017753,0.05429
1764067956831,-0.006689,0.011993,0.056538
1764067956841,-0.004639,0.001903,0.066656
1764067956851,-0.007191,-0.007996,0.053022
1764067956861,-0.005097,-0.007348,-0.001307
1764067956871,-0.00221,0.011634,-0.051464
1764067956881,0.015415,-0.007903,-0.079711
1764067956891,-0.007778,0.004284,-0.141283
1764067956901,0.003189,0.003386,-0.195601
1764067956911,-0.002761,0.021187,-0.236084
1764067956921,0.006229,-0.027125,-0.252683
1764067956931,0.003001,0.022372,-0.208027
1764067956941,-0.008515,-0.016573,-0.181167
1764067956952,-0.011923,-0.000982,-0.169095
1764067956962,-0.006803,0.000866,-0.147184
1764067956972,-0.003482,-0.004283,-0.118012
1764067956982,-0.005479,-0.008644,-0.120105
1764067956992,0.0117,0.001285,-0.131746
1764067957002,0.007042,0.008907,-0.156097
1764067957012,-0.000219,0.024524,-0.175873
1764067957022,-0.002809,0.004082,-0.184581
1764067957032,0.003299,-0.017784,-0.191047
1764067957042,0.00065,0.014017,-0.224686
1764067957052,-0.003212,-0.026113,-0.237877
1764067957062,-0.005255,0.009929,-0.245377
1764067957072,0.001096,0.018543,-0.240397
1764067957082,-0.004377,0.006733,-0.224232
